"DGRP line","b0_female","se_b0_female","b1_female","se_b1_female","CTmax_female","se_CTmax_female","z_female","se_z_female","CI_CTmax_female","CI_z_female","b0_male","se_b0_male","b1_male","se_b1_male","CTmax_male","se_CTmax_male","z_male","se_z_male","CI_CTmax_male","CI_z_male"
"DGRP-129",20.2721,0.8356,-0.5028,0.0222,40.3202,0.1276,1.9889,0.0877,"[40.0701, 40.5703]","[1.817, 2.1608]",18.0297,1.1312,-0.4433,0.03,40.6693,0.2198,2.2557,0.1529,"[40.2385, 41.1001]","[1.956, 2.5554]"
"DGRP-195",14.6139,0.6788,-0.3438,0.0181,42.5082,0.2701,2.9087,0.1531,"[41.9788, 43.0376]","[2.6086, 3.2088]",11.6583,0.7034,-0.2689,0.0187,43.3571,0.4151,3.719,0.2593,"[42.5435, 44.1707]","[3.2108, 4.2272]"
"DGRP-313",19.162,0.6936,-0.4679,0.0184,40.956,0.1373,2.1374,0.084,"[40.6869, 41.2251]","[1.9728, 2.302]",17.5681,0.6982,-0.4288,0.0188,40.9705,0.1723,2.3321,0.102,"[40.6328, 41.3082]","[2.1322, 2.532]"
"DGRP-324",14.9784,0.5492,-0.3564,0.0146,42.0326,0.1898,2.8062,0.1151,"[41.6606, 42.4046]","[2.5806, 3.0318]",12.6555,0.4728,-0.2953,0.0125,42.857,0.2232,3.3864,0.1436,"[42.4195, 43.2945]","[3.1049, 3.6679]"
"DGRP-338",14.9522,0.8241,-0.3545,0.0219,42.1754,0.2895,2.8207,0.1742,"[41.608, 42.7428]","[2.4793, 3.1621]",6.6775,0.5971,-0.1372,0.0159,48.6638,1.3069,7.2877,0.8461,"[46.1023, 51.2253]","[5.6293, 8.9461]"
"DGRP-361",15.1136,0.9717,-0.3627,0.0259,41.6737,0.3226,2.7574,0.1973,"[41.0414, 42.306]","[2.3707, 3.1441]",12.3149,0.8838,-0.2888,0.0237,42.6488,0.4523,3.4632,0.2843,"[41.7623, 43.5353]","[2.906, 4.0204]"
"DGRP-380",11.5306,0.5111,-0.2648,0.0136,43.5497,0.3142,3.7769,0.1941,"[42.9339, 44.1655]","[3.3965, 4.1573]",10.6188,0.7679,-0.2428,0.0205,43.7265,0.5306,4.1178,0.3469,"[42.6865, 44.7665]","[3.4379, 4.7977]"
"DGRP-385",15.5555,0.8042,-0.3694,0.0216,42.1106,0.2907,2.7071,0.158,"[41.5408, 42.6804]","[2.3974, 3.0168]",14.7397,0.8144,-0.3507,0.0218,42.0265,0.2994,2.8513,0.1772,"[41.4397, 42.6133]","[2.504, 3.1986]"
"DGRP-399",14.7827,0.9795,-0.3524,0.0261,41.9518,0.3426,2.8379,0.2104,"[41.2803, 42.6233]","[2.4255, 3.2503]",8.8619,0.3316,-0.1919,0.0088,46.1687,0.3922,5.2098,0.2387,"[45.4, 46.9374]","[4.7419, 5.6777]"
"DGRP-426",12.9589,0.4864,-0.3008,0.0128,43.0864,0.2198,3.3248,0.1413,"[42.6556, 43.5172]","[3.0479, 3.6017]",10.6143,0.4646,-0.2395,0.0124,44.3242,0.363,4.1759,0.2164,"[43.6127, 45.0357]","[3.7518, 4.6]"
"DGRP-440",18.5307,1.2486,-0.446,0.033,41.5467,0.2821,2.242,0.1659,"[40.9938, 42.0996]","[1.9168, 2.5672]",12.475,0.6308,-0.2851,0.0168,43.7588,0.3705,3.5077,0.2064,"[43.0326, 44.485]","[3.1032, 3.9122]"
"DGRP-441",14.7871,0.6404,-0.3473,0.0171,42.5803,0.2595,2.8795,0.1418,"[42.0717, 43.0889]","[2.6016, 3.1574]",11.9565,0.7237,-0.272,0.0192,43.9524,0.4557,3.676,0.26,"[43.0592, 44.8456]","[3.1664, 4.1856]"
"DGRP-555",14.1634,0.4823,-0.3351,0.0128,42.2714,0.1861,2.9846,0.1144,"[41.9066, 42.6362]","[2.7604, 3.2088]",13.8435,0.4059,-0.3267,0.0108,42.3713,0.1655,3.0607,0.1013,"[42.0469, 42.6957]","[2.8622, 3.2592]"
"DGRP-57",13.6181,0.4798,-0.3196,0.0128,42.6123,0.2135,3.1291,0.1255,"[42.1938, 43.0308]","[2.8831, 3.3751]",12.3415,0.5327,-0.286,0.0142,43.149,0.2851,3.4962,0.1735,"[42.5902, 43.7078]","[3.1561, 3.8363]"
"DGRP-712",16.727,0.6795,-0.4054,0.018,41.2573,0.1694,2.4665,0.1098,"[40.9253, 41.5893]","[2.2513, 2.6817]",13.812,0.8229,-0.3256,0.0219,42.4177,0.3408,3.0711,0.2069,"[41.7497, 43.0857]","[2.6656, 3.4766]"
"DGRP-732",16.8498,0.6837,-0.4056,0.0182,41.5463,0.1849,2.4657,0.1106,"[41.1839, 41.9087]","[2.2489, 2.6825]",12.5154,0.7776,-0.291,0.0207,43.0154,0.4022,3.437,0.2449,"[42.2271, 43.8037]","[2.957, 3.917]"
"DGRP-843",16.6972,1.1657,-0.4065,0.0311,41.0788,0.2898,2.4602,0.1882,"[40.5108, 41.6468]","[2.0913, 2.8291]",19.0397,0.8899,-0.4665,0.0237,40.8116,0.1755,2.1435,0.1089,"[40.4676, 41.1556]","[1.9301, 2.3569]"
"DGRP-849",16.4161,1.0506,-0.3931,0.0281,41.7614,0.3247,2.5439,0.1819,"[41.125, 42.3978]","[2.1874, 2.9004]",12.6658,0.7978,-0.292,0.0213,43.3733,0.4437,3.4244,0.25,"[42.5036, 44.243]","[2.9344, 3.9144]"
"DGRP-88",12.9632,1.3113,-0.3024,0.0347,42.869,0.5961,3.307,0.3794,"[41.7006, 44.0374]","[2.5634, 4.0506]",14.0547,1.0794,-0.3321,0.0287,42.3161,0.4148,3.0108,0.2599,"[41.5031, 43.1291]","[2.5014, 3.5202]"
"DGRP-892",15.8979,0.729,-0.3789,0.0194,41.96,0.2325,2.6393,0.1352,"[41.5043, 42.4157]","[2.3743, 2.9043]",12.1555,0.7455,-0.2809,0.0198,43.2717,0.4117,3.5599,0.2514,"[42.4648, 44.0786]","[3.0672, 4.0526]"
